Unnamed: 0,1_국민대앞,2_청덕초등학교,3_북악중학교,4_봉국사,5_정릉2동주민센터,6_숭덕초교,7_정릉길음시장,8_돈암동삼성아파트입구,9_돈암1동주민센터,10_종암사거리,11_종암경찰서,12_종암동주민센터,13_숭례초교,14_고려대역.고대앞삼거리,15_홍파초등학교,16_제기동주민센터.서울약령시앞,17_청량리수산시장,18_청량리역환승센터,19_서울성심병원,20_휘경동입구,21_삼육서울병원,22_중랑교,23_서울우유앞,24_신성은하수아파트,25_면목2동한신아파트,26_면목5동,27_동서그랜드맨션,28_하나은행면목지점,29_면목복개천,30_지하철7호선면목역,31_농협앞,32_혜원여중고후문,33_서일대학교,34_용마문화복지센터,35_용마문화복지센터,36_서일대학교,37_혜원여중고후문,38_농협앞,39_면목역,40_면목복개천,41_하나은행면목지점,42_동서그랜드맨션,43_면목5동,44_면목2동한신아파트,45_신성은하수아파트,46_서울우유앞,47_중랑교,48_삼육서울병원,49_시조사삼거리,50_떡전교사거리.동대문노인복지관,51_청량리미주아파트.동대문세무서,52_청량리역환승센타,53_경동시장앞,54_홍파초등학교,55_제기동한신아파트앞,56_고려대역.고대앞삼거리,57_숭례초등학교,58_종암동주민센터,59_종암경찰서,60_돈암1동주민센터,61_길음역,62_길음뉴타운10단지.라온유아파트,63_숭덕초교,64_정릉2동주민센터,65_봉국사,66_고려대사범대학부속고등학교,67_청덕초교,68_국민대앞,11_종암사거리입구,59_종암사거리입구
2022-03-06 22:00:00,2,2,0,4,4,3,5,8,5,0,7.0,4,4,4,0,0,1,5,5,4,7,8,3,8,6,5,4,3,1,8,7,5,2,0,0,1,2,3,5,7,8,0,4,3,5,1,6,7,3,5,5,10,7,6,7,8,7,5,8.0,8,11,10,9,8,7,4,1,0,,
2022-03-06 23:00:00,1,0,2,0,0,3,2,3,6,4,4.0,4,5,4,6,0,5,6,0,3,4,7,8,5,0,4,2,2,0,6,1,2,0,0,0,2,0,4,3,2,3,4,1,0,2,1,2,3,0,0,2,9,10,6,11,12,10,8,8.0,5,11,5,11,9,8,3,1,0,,
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 04:00:00,1,1,3,1,2,4,0,0,0,1,2.0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,6,0,7,11,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-07 05:00:00,1,1,4,4,5,6,7,6,7,5,8.0,8,11,10,5,4,8,6,7,7,6,6,5,8,8,6,11,12,11,4,2,0,0,0,0,4,7,7,4,5,6,5,7,9,10,7,13,4,4,9,11,10,14,10,15,14,8,10,11.0,10,8,5,5,0,4,3,1,0,,
2022-03-07 06:00:00,2,3,4,4,7,7,8,7,7,4,6.0,8,8,7,12,11,9,7,7,6,6,6,5,5,8,9,9,10,7,5,4,3,2,0,2,4,10,11,8,10,11,11,15,19,15,17,18,14,15,14,14,16,16,12,11,12,11,9,6.0,5,4,2,6,3,5,4,2,0,,
2022-03-07 07:00:00,6,7,15,5,12,16,20,15,16,16,23.0,28,21,15,16,14,11,11,10,10,10,10,10,13,15,17,19,29,29,10,8,3,2,0,4,9,24,21,10,12,17,24,27,34,37,39,34,33,32,31,26,24,17,11,16,15,16,14,16.0,12,14,20,27,31,15,9,2,0,,
2022-03-07 08:00:00,2,11,17,19,26,34,39,26,32,31,34.0,40,40,34,33,29,28,26,25,28,32,29,30,30,29,24,29,33,30,40,31,35,28,2,4,9,28,32,11,14,21,29,30,36,43,49,43,37,34,36,31,23,22,20,22,31,33,32,30.0,27,34,34,31,29,28,23,15,14,,
2022-03-07 09:00:00,3,9,15,0,14,14,17,16,17,15,16.0,15,19,16,15,15,12,14,13,11,13,14,15,17,17,7,19,22,19,29,20,28,11,0,2,4,15,14,7,7,10,12,16,19,20,19,18,15,16,16,14,17,18,19,17,18,17,14,14.0,12,21,19,8,20,7,10,9,0,,
2022-03-07 10:00:00,5,3,5,15,15,18,19,16,18,6,12.0,18,16,10,16,8,13,9,8,5,7,7,8,9,8,8,11,11,10,10,4,6,7,0,12,14,8,12,7,10,9,11,12,13,20,19,19,18,17,14,14,13,11,11,9,13,14,13,12.0,9,13,12,13,14,11,19,11,0,,
2022-03-07 11:00:00,6,8,10,0,10,11,12,14,9,12,9.0,15,16,13,15,14,10,10,10,9,8,8,10,9,6,7,8,6,4,4,3,2,1,0,15,20,23,22,9,10,11,12,14,15,15,15,18,17,20,17,17,15,13,14,13,13,14,13,11.0,8,13,15,11,12,10,8,10,0,,
2022-03-07 12:00:00,4,2,4,4,5,9,11,13,12,12,13.0,15,16,16,16,13,11,10,9,10,13,12,11,12,11,12,12,10,7,14,6,13,8,0,9,16,17,19,13,16,19,17,16,12,13,11,14,12,12,12,11,13,19,18,15,16,11,12,14.0,11,15,14,15,17,16,11,6,0,,
2022-03-07 13:00:00,9,6,12,14,7,14,14,19,6,18,17.0,15,16,15,17,12,18,22,24,21,21,11,21,9,13,16,16,9,9,11,7,4,2,0,6,7,7,10,8,9,11,10,9,18,19,16,15,17,16,12,13,18,17,15,16,14,14,13,12.0,11,13,12,7,15,14,10,9,0,,
2022-03-07 14:00:00,11,11,12,7,14,14,12,11,10,11,16.0,17,18,18,22,16,17,15,17,9,24,25,24,19,18,15,12,13,6,6,5,3,2,0,29,30,32,30,9,9,9,11,10,12,12,12,11,12,11,17,18,18,13,13,11,12,10,11,11.0,8,8,6,5,7,4,4,3,0,,
2022-03-07 15:00:00,8,16,33,13,21,16,15,15,16,15,17.0,14,16,13,12,12,14,11,11,11,12,11,10,10,9,10,8,8,8,7,5,3,0,0,15,19,21,21,14,15,15,14,10,12,10,10,10,13,10,14,11,17,22,19,18,16,30,28,27.0,21,14,11,12,13,8,12,9,0,,
2022-03-07 16:00:00,12,17,27,28,24,25,23,22,22,16,18.0,15,19,19,18,16,17,22,21,20,19,19,18,17,19,18,14,9,8,9,8,6,4,1,7,10,15,14,10,11,12,11,10,11,12,11,14,13,12,11,13,16,21,20,20,20,17,15,15.0,12,13,12,11,7,9,4,3,0,,
2022-03-07 17:00:00,26,35,35,34,30,29,26,19,19,16,12.0,14,15,16,18,19,19,23,22,22,20,18,19,20,20,15,12,11,8,21,20,12,6,0,3,11,14,13,10,14,9,8,7,7,9,9,12,11,7,10,10,17,21,20,17,20,16,13,16.0,13,18,17,8,8,7,6,1,0,,
2022-03-07 18:00:00,13,19,22,25,23,24,23,22,21,18,20.0,19,19,18,20,22,26,39,40,36,40,38,32,31,26,22,18,13,10,27,17,7,3,0,5,11,12,10,7,14,16,20,25,22,17,19,19,22,21,24,24,28,28,25,24,35,28,24,19.0,16,31,21,19,16,14,8,1,0,,
2022-03-07 19:00:00,8,10,7,11,13,13,10,14,14,14,10.0,11,11,12,13,14,19,31,33,32,38,37,35,32,27,25,23,21,20,29,26,11,6,0,6,5,6,9,15,24,25,25,20,11,12,10,10,9,9,10,10,19,22,19,19,25,22,16,17.0,15,18,15,12,10,8,2,0,0,,
2022-03-07 20:00:00,5,6,7,4,6,8,7,9,7,6,9.0,7,8,6,5,4,6,11,15,16,16,15,16,13,13,14,12,8,7,16,13,7,2,0,4,5,4,5,7,13,11,8,6,6,6,6,6,7,7,5,8,10,7,10,8,9,16,14,15.0,12,14,13,12,9,8,5,3,0,,
2022-03-07 21:00:00,4,5,6,0,7,6,7,10,9,5,9.0,6,6,10,8,10,9,11,10,9,13,14,13,10,10,8,7,4,3,7,3,2,1,0,7,7,8,7,6,9,10,6,4,3,3,4,6,4,0,5,5,9,7,8,5,11,7,8,12.0,14,13,7,7,5,3,4,0,0,,
2022-03-07 22:00:00,7,8,10,4,10,8,12,16,9,8,11.0,8,7,6,0,0,7,13,12,11,12,10,9,8,7,6,6,5,4,14,6,11,5,0,2,3,4,4,4,4,5,6,4,8,9,8,10,12,13,12,12,10,8,9,7,7,7,4,12.0,11,9,11,11,14,12,5,0,0,,
2022-03-07 23:00:00,2,3,4,0,2,0,1,7,0,6,5.0,5,5,4,3,0,4,4,9,0,5,8,4,7,6,3,4,5,2,6,2,2,1,0,0,1,0,0,3,5,6,4,1,2,2,2,6,7,3,6,1,4,1,6,3,5,4,4,5.0,4,8,7,6,7,6,3,0,0,,
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,
