Unnamed: 0,1_중계본동종점,2_노원우체국,3_중계본동주민센터,4_영신여자고등학교입구,5_노원문화예술회관.불암초등학교,6_기업은행중계동지점,7_은행사거리,8_중계주공10단지.중계건영3차아파트,9_노원구민체육센터,10_목련아파트상가,11_중계목화아파트4단지,12_용동초등학교,13_2001아울렛중계점,14_노원구민의전당,15_하계역,16_하계우성아파트,17_하계극동아파트,18_월계보건지소,19_월계사슴아파트2단지,20_월계역,21_녹천초등학교월계이마트,22_월계삼호4차아파트,23_월계삼호아파트,24_월계미륭아파트,25_월계미성아파트,26_한천초등학교,27_한진한화그랑빌아파트,28_한진한화그랑빌아파트,29_석계역2번출구,30_석계역1번출구.A,31_석계역굴다리앞,32_석계역,33_한천초등학교,34_월계미성아파트,35_월계미륭아파트,36_월계삼호아파트,37_월계삼호4차아파트,38_녹천초등학교월계이마트,39_월계역,40_월계사슴아파트3단지,41_월계보건지소,42_하계시영아파트,43_하계장미아파트,44_하계역,45_서울시립북서울미술관,46_2001아울렛중계점,47_용동초등학교,48_하계현대아파트,49_롯데마트,50_노원구민체육센터,51_롯데우성아파트,52_은행사거리,53_신한은행중계본동지점,54_노원문화예술회관.불암초등학교,55_불암고등학교,56_노원우체국,57_중계본동종점(가상)
2022-03-07 20:00:00,1,2,0,3,1,5,9,8,0,10,0,5,10,9,5,4,4,3,0,2,0,3,0,0,2,3,0,0,1,6,0,6,5,4,2,2,1,3,6,0,8,7,12,19,14,13,7,17,18,16,2,12,13,7,3,0,0
2022-03-07 21:00:00,0,0,1,4,1,11,15,11,0,10,0,9,8,8,10,13,13,8,0,1,6,4,3,0,2,2,0,1,0,2,3,4,4,5,6,4,0,0,1,0,5,4,7,7,8,9,7,0,0,6,5,6,4,2,1,0,0
2022-03-07 22:00:00,1,0,0,2,3,21,33,37,38,0,14,3,13,28,28,28,24,23,24,23,0,10,5,0,4,3,1,2,1,2,3,4,0,0,0,2,3,5,5,0,6,5,0,10,11,12,8,10,0,9,8,7,6,2,1,0,0
2022-03-07 23:00:00,0,0,0,1,1,2,5,3,0,0,0,0,2,0,1,3,3,3,0,0,0,0,2,2,0,1,0,0,0,2,1,3,2,0,1,2,3,0,4,0,0,3,2,4,2,0,0,0,0,4,2,0,4,2,0,1,0
2022-03-08 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 04:00:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-08 05:00:00,1,0,2,4,3,4,4,5,0,3,0,3,4,4,2,0,0,0,1,3,2,3,4,5,0,2,0,4,3,2,1,0,0,0,0,0,0,0,2,0,3,2,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0
2022-03-08 06:00:00,1,5,1,9,10,11,13,14,6,15,18,5,0,4,2,2,3,0,2,1,0,2,3,2,2,4,0,1,2,3,2,3,4,3,0,0,4,0,3,4,6,5,3,4,4,3,1,0,0,0,2,0,0,0,0,0,0
2022-03-08 07:00:00,3,5,7,14,16,17,19,23,24,23,23,25,25,20,12,12,9,13,12,6,6,7,3,0,4,5,6,7,6,6,2,11,16,18,19,0,8,0,7,11,12,13,17,22,26,27,15,27,29,28,23,19,18,7,0,0,0
2022-03-08 08:00:00,0,4,2,10,12,11,15,19,20,12,19,20,18,13,8,8,9,8,6,3,5,6,0,0,11,12,13,11,10,1,0,0,4,3,6,21,10,2,22,21,15,16,11,12,8,12,13,9,12,14,16,12,8,2,1,0,0
2022-03-08 09:00:00,1,2,3,5,5,0,7,10,6,8,11,13,12,11,8,7,8,5,0,5,1,1,3,1,3,6,7,6,5,2,1,0,2,3,4,5,0,0,2,3,4,3,5,4,4,5,3,0,0,3,4,3,2,1,0,0,0
2022-03-08 10:00:00,0,5,6,3,7,4,11,12,3,10,11,14,9,9,8,8,0,7,4,5,3,4,6,3,6,7,10,3,5,2,0,1,3,4,0,3,0,0,5,5,5,7,9,9,8,5,0,3,11,6,10,4,3,1,0,0,0
2022-03-08 11:00:00,0,3,4,0,5,6,8,9,8,7,8,7,6,6,6,10,5,3,2,3,0,4,3,2,1,4,3,2,0,2,0,1,3,3,2,4,4,0,4,4,3,4,4,4,7,6,8,6,8,0,7,5,4,3,1,0,0
2022-03-08 12:00:00,0,2,1,3,0,4,7,8,6,9,7,5,10,6,6,8,10,20,23,18,23,7,21,15,18,15,11,5,2,4,2,0,6,7,6,6,8,9,10,11,15,14,14,13,12,11,11,9,10,10,8,4,3,2,0,0,0
2022-03-08 13:00:00,1,2,9,5,12,11,9,12,14,12,10,9,11,10,8,8,8,7,3,7,6,1,4,0,5,6,2,3,2,3,0,0,5,5,2,0,5,5,9,3,11,4,10,9,9,12,11,9,8,0,8,6,4,2,0,1,0
2022-03-08 14:00:00,2,4,4,7,8,8,10,12,13,12,7,12,11,9,7,7,6,5,0,5,3,2,2,1,1,1,0,3,0,0,0,0,2,1,0,2,4,6,7,8,8,10,11,11,10,11,10,0,12,11,12,6,9,6,0,3,0
2022-03-08 15:00:00,2,8,10,10,9,10,12,13,15,16,10,10,15,12,9,8,7,5,7,9,7,0,4,3,2,2,0,1,2,3,4,0,4,5,8,12,4,5,13,13,15,18,24,24,22,22,13,20,12,0,17,7,6,4,2,0,0
2022-03-08 16:00:00,1,4,3,14,23,28,31,24,23,28,23,20,17,14,11,10,8,7,8,11,13,3,3,3,4,5,2,1,4,2,0,3,4,5,4,5,6,6,7,8,12,11,22,26,31,22,32,31,31,17,16,30,10,5,0,1,0
2022-03-08 17:00:00,0,3,5,6,11,15,16,15,13,14,13,28,11,22,14,10,7,9,7,10,5,8,0,12,12,11,10,10,5,7,3,12,14,12,11,11,10,7,10,11,12,15,20,25,29,31,32,31,25,23,29,13,9,4,4,2,0
2022-03-08 18:00:00,1,3,1,4,5,13,16,9,8,17,18,10,12,10,10,12,10,9,0,9,8,5,4,0,3,0,0,4,1,5,0,8,9,4,3,9,8,9,11,6,14,16,16,23,24,23,26,24,22,23,22,10,7,4,2,1,0
2022-03-08 19:00:00,1,2,2,1,2,6,11,12,0,3,0,10,0,12,12,13,12,10,9,0,3,7,2,5,3,2,0,2,1,2,4,5,7,6,6,5,7,6,9,8,9,8,7,20,21,19,20,18,16,15,14,9,8,3,2,0,0
2022-03-08 20:00:00,0,2,0,3,1,6,11,12,13,6,15,13,14,11,8,7,5,4,5,7,4,2,1,0,2,0,1,1,0,7,7,0,5,5,4,2,0,3,3,2,4,6,9,25,10,24,23,0,21,22,0,20,19,7,5,1,0
2022-03-08 21:00:00,2,3,0,3,4,11,20,21,9,9,17,8,16,13,5,14,9,6,7,2,6,4,0,0,3,1,0,0,0,3,0,3,2,2,0,0,2,3,6,0,9,0,8,11,13,14,13,10,10,9,8,7,7,3,2,0,0
