Unnamed: 0,1_덕은동종점,2_덕은동입구,3_대덕동주민센터,4_월드컵파크9.10.11.12단지,5_DMC첨단산업센터,6_수색교,7_수색역앞,8_디지털미디어시티역,9_북가좌동삼거리,10_DMC래미안e.편한세상요진아파트,11_모래내시장.가좌역,12_사천교,13_연희104고지앞.구성산회관,14_서대문우체국,15_연세대앞,16_세브란스병원앞,17_이대후문,18_영천시장,19_서대문역,20_경찰청.동북아역사재단,21_서울역버스환승센터,22_갈월동,23_숙대입구역,24_삼각지역,25_KT용산지사,26_신용산역,27_한강대교북단.LG유플러스,28_노들섬,29_상도터널노량진동,30_상도터널상도동,31_상도시장,32_상도동중앙하이츠빌.상도전통시장,33_숭실대입구역,34_봉현초등학교,35_성현동동아아파트,36_봉원중학교.행운동우성아파트,37_봉천사거리.위버폴리스,38_관악구청,39_관악경찰서.관악소방서,40_서울여상.서울문영여중고앞,41_서울대학교치과병원.동물병원,42_서울대학교,43_서울대학교치과병원.동물병원,44_서울여상.서울문영여중고앞,45_관악구청,46_봉천사거리.봉천중앙시장,47_봉원중학교.행운동우성아파트,48_관악푸르지오아파트,49_봉천고개.관악현대아파트,50_숭실대입구역,51_상도동중앙하이츠빌.상도전통시장,52_상도시장,53_상도터널상도동,54_상도터널노량진동,55_노들섬,56_한강대교북단.LG유플러스,57_신용산역,58_KT용산지사,59_삼각지역,60_숙대입구역,61_갈월동,62_경찰청.동북아역사재단,63_서대문.서울시교육청,64_독립문(가상),65_독립문공원.극동아파트,66_이대후문,67_세브란스병원앞,68_연세대앞,69_서대문우체국,70_연희104고지앞.구성산회관,71_사천교,72_모래내시장.가좌역,73_DMC래미안e.편한세상요진아파트,74_북가좌동삼거리,75_디지털미디어시티역,76_수색역앞,77_수색교,78_DMC첨단산업센터,79_월드컵파크9.10.11.12단지,80_대덕동주민센터,81_덕은동입구,82_덕은동종점
2022-03-06 12:00:00,0,0,0,0,1,4,0,5,0,4,5,8,7,10,14,9,10,14,15,16,15,17,17,18,19,14,15,15,14,17,17,19,21,19,18,17,8,8,5,3,2,9,0,0,7,6,11,10,14,18,19,22,25,16,24,23,21,11,12,17,19,18,16,9,13,9,12,12,13,10,7,5,3,2,2,0,0,0,0,0,0,0
2022-03-06 13:00:00,0,0,0,0,1,3,0,3,5,6,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,11,11,8,10,7,5,6,5,0,4,5,0,0,12,15,16,17,18,19,21,23,28,30,27,22,20,19,17,18,18,14,15,15,18,16,16,15,14,9,5,8,0,5,3,2,1,1,0,0,0,0
2022-03-06 14:00:00,0,0,1,3,4,5,2,8,6,7,6,7,10,11,12,13,21,28,26,22,16,17,20,25,22,29,31,34,32,24,20,18,19,15,12,10,6,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6,12,8,7,6,4,4,4,5,0,4,3,3,2,0,1,0,0,0
2022-03-06 15:00:00,0,1,0,2,1,4,3,3,9,2,9,10,11,10,13,14,20,23,24,19,20,18,15,17,15,21,21,24,23,22,18,17,16,16,13,9,7,6,4,0,2,13,4,7,9,14,16,20,22,30,32,33,41,47,30,15,21,19,17,20,19,19,13,0,16,15,12,7,5,0,6,4,0,0,0,0,0,0,0,0,0,0
2022-03-06 16:00:00,0,4,0,1,2,0,3,3,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14,18,19,16,16,17,21,19,15,10,10,5,0,0,3,8,0,0,8,8,15,13,15,16,18,17,20,21,23,17,13,12,13,18,22,21,22,19,21,19,18,14,12,13,8,7,6,5,4,3,2,1,0,0,0,0
2022-03-06 17:00:00,0,0,0,2,3,1,3,3,0,2,6,8,10,12,16,17,19,16,18,12,19,17,19,18,17,27,0,26,24,23,10,4,12,0,10,8,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,10,12,10,12,11,14,16,7,15,14,9,8,7,6,6,5,2,0,0,0,0
2022-03-06 18:00:00,0,0,1,2,3,4,6,6,8,7,1,2,11,13,19,20,25,20,12,20,21,20,15,16,15,20,21,21,21,14,24,25,22,16,14,11,6,5,4,0,1,8,7,4,8,13,13,15,14,13,15,18,23,24,21,22,12,8,9,10,13,12,11,10,13,11,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
2022-03-06 19:00:00,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,5,0,7,14,9,10,9,9,8,5,6,3,2,1,0,0,1,0,0,4,10,10,11,10,8,11,12,14,14,16,14,12,12,13,15,14,14,9,4,15,5,12,12,10,6,8,7,6,3,3,2,1,1,0,0,0,0
2022-03-06 20:00:00,0,0,0,0,0,1,2,4,3,2,3,4,7,8,14,16,18,15,16,16,14,13,9,15,17,27,27,21,22,17,13,12,15,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,15,14,14,14,14,6,11,14,12,10,6,9,9,8,7,5,5,4,3,2,0,0,0,0,0
2022-03-06 21:00:00,0,0,0,0,0,0,0,2,1,0,3,2,4,6,10,11,11,9,6,8,13,11,18,19,0,33,32,32,28,22,21,17,20,15,10,11,6,1,0,0,0,2,0,0,3,6,7,6,5,5,6,6,6,5,10,4,11,12,9,10,5,0,6,4,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 22:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,5,6,0,6,0,9,11,5,19,21,21,21,19,16,14,19,16,14,11,6,2,1,0,0,3,1,2,4,7,8,7,6,6,6,7,6,7,6,7,8,9,6,9,8,6,9,4,5,10,9,8,10,7,8,6,4,4,3,2,0,0,0,0,0,0
2022-03-06 23:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,0,5,5,0,4,4,5,3,0,2,4,3,0,4,3,2,2,3,2,1,3,1,0,0,0,0,0,0
2022-03-07 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 01:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 02:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 03:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 04:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 05:00:00,0,0,0,1,2,3,3,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 06:00:00,0,0,0,4,5,7,12,15,18,20,15,16,16,15,16,14,15,20,12,10,8,6,9,8,3,6,7,2,6,5,1,6,8,6,2,5,0,1,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 07:00:00,0,0,0,0,0,0,0,0,0,0,24,30,29,32,31,25,22,27,31,23,16,13,12,11,8,10,10,2,14,11,14,20,21,23,23,22,20,20,14,5,2,4,5,6,10,21,29,33,40,37,44,46,51,49,35,40,37,32,31,38,40,35,11,7,29,24,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 08:00:00,0,0,0,2,7,17,15,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,1,1,3,0,2,8,13,22,35,51,51,60,61,62,62,59,49,47,45,38,42,44,31,30,29,32,22,13,9,10,9,7,6,7,8,11,12,12,6,3,0,0,0
2022-03-07 09:00:00,1,2,4,7,7,13,12,15,14,19,25,27,30,33,34,35,38,37,34,27,21,20,25,39,37,23,23,22,21,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,8,6,2,0,0,5,3,4,3,5,4,5,2,1,0,0,0
2022-03-07 10:00:00,0,0,0,2,4,6,2,10,12,11,11,15,14,15,15,15,16,19,17,19,21,18,16,23,20,43,43,44,42,28,28,26,25,22,23,20,15,19,19,18,13,2,0,0,3,6,12,14,17,17,16,16,16,17,5,15,12,13,7,7,8,7,4,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-07 11:00:00,0,0,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,9,9,8,9,9,8,5,7,2,3,1,2,0,4,5,3,4,5,9,10,11,16,19,21,23,23,21,20,14,15,11,10,9,9,9,6,12,8,8,6,7,6,3,4,4,2,4,4,2,1,0,0,0,0
2022-03-07 12:00:00,0,1,1,2,0,3,4,5,5,7,13,14,19,15,14,19,24,26,24,21,19,15,14,19,18,25,25,0,20,3,4,4,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,5,7,7,8,5,9,8,7,8,6,5,6,3,4,3,5,3,2,1,1,0,0,0
