Unnamed: 0,1_은평공영차고지,2_덕은교.은평차고지앞,3_수색교,4_수색역앞,5_디지털미디어시티역,6_북가좌동삼거리,7_DMC래미안e.편한세상요진아파트,8_모래내시장.가좌역,9_사천교,10_연희104고지앞.구성산회관,11_서대문우체국,12_연세대앞,13_세브란스병원앞,14_이대후문,15_영천시장,16_서대문역,17_경찰청.동북아역사재단,18_서울역버스환승센터,19_갈월동,20_숙대입구역,21_삼각지역,22_KT용산지사,23_신용산역,24_한강대교북단.LG유플러스,25_노들섬,26_상도터널노량진동,27_상도터널상도동,28_상도시장,29_상도동중앙하이츠빌.상도전통시장,30_숭실대입구역,31_봉현초등학교,32_성현동동아아파트,33_봉원중학교.행운동우성아파트,34_봉천사거리.위버폴리스,35_관악구청,36_관악경찰서.관악소방서,37_서울여상.서울문영여중고앞,38_서울대학교치과병원.동물병원,39_서울대학교,40_서울대학교치과병원.동물병원,41_서울여상.서울문영여중고앞,42_관악구청,43_봉천사거리.봉천중앙시장,44_봉원중학교.행운동우성아파트,45_관악푸르지오아파트,46_봉천고개.관악현대아파트,47_숭실대입구역,48_상도동중앙하이츠빌.상도전통시장,49_상도시장,50_상도터널상도동,51_상도터널노량진동,52_노들섬,53_한강대교북단.LG유플러스,54_신용산역,55_KT용산지사,56_삼각지역,57_숙대입구역,58_갈월동,59_경찰청.동북아역사재단,60_서대문.서울시교육청,61_독립문(가상),62_독립문공원.극동아파트,63_이대후문,64_세브란스병원앞,65_연세대앞,66_서대문우체국,67_연희104고지앞.구성산회관,68_사천교,69_모래내시장.가좌역,70_DMC래미안e.편한세상요진아파트,71_북가좌동삼거리,72_디지털미디어시티역,73_수색역앞,74_수색교,75_덕은교.은평차고지앞,76_은평공영차고지(가상)
2022-03-06 14:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,10,7,8,8,7,6,7,10,6,5,8,4,3,2,0,0,1,6,11,10,6,17,15,18,22,21,15,24,27,27,21,24,23,22,18,15,16,12,10,10,16,11,7,8,7,4,3,1,2,2,3,3,3,2,0
2022-03-06 15:00:00,1,3,2,4,6,3,7,6,10,12,11,15,11,12,13,11,2,7,10,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,13,11,11,10,6,3,5,7,6,6,3,3,2,3,6,4,1,3,1,1,0,0
2022-03-06 16:00:00,0,2,3,4,6,5,6,5,8,9,12,14,18,22,27,25,13,21,18,15,24,23,29,13,31,32,25,22,20,20,23,24,21,9,3,0,1,0,6,7,8,10,11,15,15,14,11,10,15,18,16,17,21,20,23,20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-06 17:00:00,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,12,8,14,13,20,19,16,27,27,24,26,23,21,16,17,14,14,10,6,1,0,0,0,11,8,6,14,18,18,19,13,16,15,17,22,24,23,22,24,25,21,13,18,17,16,14,17,14,11,22,19,14,6,5,5,4,1,2,0,0,0
2022-03-06 18:00:00,0,0,2,0,2,0,1,0,0,3,4,9,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,10,12,14,15,16,15,14,0,15,18,15,13,14,20,15,12,9,17,15,11,9,7,6,6,8,6,2,3,2,1,0,0
2022-03-06 19:00:00,2,3,1,2,3,2,2,0,3,5,6,8,9,14,14,7,13,16,12,16,22,23,32,35,37,32,26,22,18,16,11,8,8,7,1,0,0,0,0,0,0,1,5,0,0,4,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,1,0,0
2022-03-06 20:00:00,0,0,0,0,0,1,0,1,3,4,0,7,7,9,8,8,6,8,8,10,14,15,21,25,28,27,23,20,17,14,12,9,8,5,2,1,0,0,1,1,0,2,7,8,8,7,6,6,8,9,8,8,8,13,8,14,14,8,13,7,6,8,6,7,6,4,3,1,2,1,0,2,1,0,0,0
2022-03-06 21:00:00,0,0,0,1,0,0,0,0,1,2,1,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,7,9,0,7,10,11,12,11,11,10,10,13,11,12,15,14,15,12,9,14,9,8,10,9,8,6,4,5,4,3,1,1,0,0
2022-03-06 22:00:00,0,0,0,0,2,3,0,5,3,5,7,12,14,10,13,8,8,12,14,15,17,17,23,22,11,22,17,15,13,11,7,5,4,5,3,0,0,0,2,0,0,2,7,8,0,6,5,4,0,5,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2022-03-06 23:00:00,0,0,0,0,2,0,0,0,0,4,2,8,9,13,10,11,10,8,5,10,16,18,20,21,6,18,13,11,14,13,10,8,7,3,2,0,0,0,2,1,0,4,11,13,12,11,9,13,12,9,6,7,6,7,4,6,8,5,9,4,3,6,3,2,8,6,2,3,1,0,0,0,0,0,1,0
